work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_range
2023,SE,FT,Data Scientist,ES,0,ES,M,3
2023,SE,FT,Data Scientist,US,0,US,M,9
2023,EN,FT,Machine Learning Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,100,US,M,20
2023,SE,FT,Data Engineer,US,100,US,M,17
2023,SE,FT,Data Analyst,US,0,US,L,9
2023,SE,FT,Data Analyst,US,0,US,M,13
2023,SE,FT,Data Analyst,US,0,US,M,6
2023,SE,FT,Data Engineer,US,0,US,M,15
2023,SE,FT,Data Engineer,US,0,US,M,16
2023,SE,FT,Data Engineer,US,0,US,M,8
2023,SE,FT,Analytics Engineer,US,0,US,M,14
2023,SE,FT,Data Engineer,US,0,US,M,23
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Research Engineer,US,0,US,M,12
2023,SE,FT,Data Scientist,US,0,US,M,14
2023,SE,FT,Analytics Engineer,US,0,US,M,20
2023,SE,FT,Analytics Engineer,US,0,US,M,16
2023,SE,FT,Analytics Engineer,US,0,US,M,13
2023,SE,FT,Analytics Engineer,US,0,US,M,27
2023,SE,FT,Analytics Engineer,US,0,US,M,20
2023,SE,FT,Data Engineer,US,0,US,M,17
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,MI,FT,Data Analytics Manager,US,0,US,M,14
2023,SE,FT,Data Engineer,US,100,US,M,13
2023,SE,FT,Machine Learning Engineer,US,0,US,L,32
2023,SE,FT,Machine Learning Engineer,US,0,US,L,16
2023,MI,FT,Data Engineer,US,100,US,M,9
2023,MI,FT,Data Engineer,US,100,US,M,6
2023,EN,FT,Data Engineer,US,0,US,M,6
2023,SE,FT,Data Scientist,US,100,US,M,13
2023,SE,FT,Data Scientist,US,100,US,M,7
2023,EN,FT,Data Analyst,US,0,US,M,7
2023,SE,FT,Data Analyst,US,0,US,M,13
2023,SE,FT,Machine Learning Engineer,US,100,US,M,19
2023,SE,FT,Data Engineer,US,100,US,M,8
2023,SE,FT,Data Engineer,US,100,US,M,7
2023,SE,FT,Data Scientist,US,0,US,M,18
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,SE,FT,Analytics Engineer,US,0,US,M,21
2023,SE,FT,Analytics Engineer,US,0,US,M,13
2023,MI,FT,Data Engineer,US,100,US,M,9
2023,MI,FT,Data Analyst,GB,0,GB,M,4
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Data Analyst,US,0,US,M,15
2023,SE,FT,Data Analyst,US,0,US,M,9
2023,SE,FT,Applied Scientist,US,0,US,L,29
2023,SE,FT,Machine Learning Engineer,US,0,US,M,14
2023,SE,FT,Analytics Engineer,US,100,US,M,14
2023,SE,FT,Analytics Engineer,US,100,US,M,11
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,11
2023,SE,FT,Applied Scientist,US,0,US,L,12
2023,SE,FT,Data Analyst,CF,100,CF,M,5
2023,SE,FT,Data Engineer,US,0,US,M,22
2023,SE,FT,Data Engineer,US,100,US,M,20
2023,MI,FT,Data Scientist,GB,0,GB,M,5
2023,EN,FT,Data Analyst,US,100,US,M,7
2023,SE,FT,Data Engineer,US,0,US,M,15
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,MI,FT,Machine Learning Engineer,US,0,US,M,23
2023,SE,FT,Data Scientist,US,0,US,M,21
2023,SE,FT,Data Scientist,US,0,US,M,17
2023,SE,FT,Data Scientist,US,0,US,M,17
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,MI,FT,Research Engineer,US,0,US,M,21
2023,MI,FT,Research Engineer,US,0,US,M,18
2023,SE,FT,Data Architect,US,100,US,M,16
2023,SE,FT,Data Architect,US,100,US,M,10
2023,SE,FT,Data Architect,US,100,US,M,10
2023,SE,FT,Data DevOps Engineer,FR,50,FR,S,5
2023,EX,FT,Data Engineer,US,0,US,M,20
2023,MI,FT,Data Engineer,US,0,US,M,16
2023,MI,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Data Engineer,US,100,US,M,18
2023,SE,FT,Data Engineer,US,100,US,M,14
2023,SE,FT,Computer Vision Engineer,US,0,US,M,20
2023,SE,FT,Machine Learning Engineer,US,0,US,M,23
2023,SE,FT,Machine Learning Engineer,US,0,US,M,16
2023,SE,FT,Data Scientist,CA,0,CA,M,21
2023,SE,FT,Data Scientist,CA,0,CA,M,16
2023,SE,FT,Data Analyst,US,100,US,M,7
2023,SE,FT,Data Analyst,US,0,US,M,11
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Data Engineer,US,0,US,M,7
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,EX,FT,Head of Data,US,0,US,M,25
2023,SE,FT,Data Quality Analyst,US,0,US,M,9
2023,SE,FT,Data Quality Analyst,US,0,US,M,7
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,MI,FT,AI Developer,US,100,US,M,18
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,EX,FT,Data Engineer,US,0,US,M,13
2023,EX,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Data Scientist,US,0,US,M,19
2023,SE,FT,Data Scientist,US,0,US,L,22
2023,SE,FT,Data Scientist,US,0,US,L,11
2023,SE,FT,Data Scientist,US,0,US,M,22
2023,SE,FT,Data Scientist,US,0,US,M,13
2023,SE,FT,Data Science Manager,US,0,US,M,18
2023,SE,FT,Data Science Manager,US,0,US,M,12
2023,SE,FT,Analytics Engineer,US,100,US,M,17
2023,SE,FT,Analytics Engineer,US,100,US,M,10
2022,SE,FT,Data Scientist,ES,100,GB,L,8
2023,EN,FT,Data Engineer,US,0,US,M,6
2023,SE,FT,Research Engineer,US,0,US,M,27
2023,SE,FT,Research Engineer,US,0,US,M,17
2023,SE,FT,Data Analyst,US,0,US,M,7
2023,SE,FT,Data Analyst,US,0,US,M,6
2023,SE,FT,Data Engineer,US,100,US,M,20
2023,SE,FT,Data Engineer,US,100,US,M,15
2023,SE,FT,Data Scientist,US,100,US,M,16
2023,SE,FT,Data Scientist,US,100,US,M,13
2023,SE,FT,Data Analyst,US,0,US,M,18
2023,SE,FT,Data Analyst,US,0,US,M,13
2023,SE,FT,Data Scientist,ES,0,ES,M,4
2023,SE,FT,Data Engineer,US,0,US,L,22
2023,SE,FT,Data Engineer,US,0,US,L,11
2023,SE,FT,Analytics Engineer,US,100,US,M,10
2023,SE,FT,Applied Scientist,US,0,US,L,24
2023,EX,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Applied Scientist,US,0,US,L,24
2023,SE,FT,Research Scientist,US,100,US,M,10
2023,SE,FT,Applied Scientist,US,100,US,M,17
2023,SE,FT,Data Analyst,US,100,US,M,14
2023,SE,FT,Data Analyst,US,100,US,M,11
2023,SE,FT,Data Scientist,US,0,US,M,18
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,SE,FT,Data Engineer,US,100,US,M,20
2023,SE,FT,Data Engineer,US,100,US,M,13
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,SE,FT,Data Scientist,US,0,US,M,12
2023,SE,FT,Data Scientist,US,100,US,M,13
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,SE,FT,Applied Scientist,US,0,US,L,20
2023,SE,FT,Applied Scientist,US,0,US,L,12
2023,EX,FT,Analytics Engineer,US,100,US,M,20
2023,EX,FT,Analytics Engineer,US,100,US,M,14
2023,SE,FT,Data Analyst,US,0,US,M,17
2023,SE,FT,Data Analyst,US,0,US,M,12
2023,SE,FT,Research Scientist,US,0,US,M,19
2023,SE,FT,Research Scientist,US,0,US,M,12
2023,SE,FT,Data Scientist,US,100,US,M,9
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Data Scientist,US,0,US,M,23
2023,SE,FT,Data Scientist,US,0,US,M,16
2023,SE,FT,Data Analyst,US,100,US,M,13
2023,SE,FT,Data Analyst,US,100,US,M,7
2023,SE,FT,Data Manager,US,0,US,M,18
2023,SE,FT,Data Manager,US,0,US,M,9
2023,SE,FT,Data Analyst,US,100,US,M,11
2023,SE,FT,Data Analyst,US,100,US,M,10
2023,SE,FT,Data Scientist,US,0,US,M,14
2023,SE,FT,Data Manager,US,100,US,M,10
2023,SE,FT,Data Manager,US,100,US,M,8
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,SE,FT,Data Scientist,US,0,US,M,13
2023,SE,FT,Data Analyst,US,0,US,M,9
2022,SE,FT,AI Developer,CA,0,CA,S,25
2023,SE,FL,Machine Learning Researcher,UA,50,UA,S,4
2023,MI,FT,Machine Learning Engineer,US,100,US,M,26
2023,MI,FT,Machine Learning Engineer,US,100,US,M,14
2023,SE,FT,Data Architect,US,0,US,M,23
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Data Analyst,US,0,US,M,13
2023,SE,FT,Data Analyst,US,0,US,M,11
2023,EN,FT,Data Scientist,US,100,US,M,12
2023,MI,FT,Data Scientist,US,100,US,M,8
2023,MI,FT,Data Scientist,US,100,US,M,4
2023,SE,FT,Data Analyst,CA,100,CA,M,12
2023,EN,FT,Data Engineer,US,0,US,M,7
2023,EN,FT,Data Engineer,US,0,US,M,6
2023,SE,FT,Machine Learning Engineer,US,0,US,M,24
2023,SE,FT,Machine Learning Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,100,US,M,16
2023,SE,FT,Data Scientist,US,100,US,M,12
2023,EN,FT,Applied Scientist,US,0,US,L,12
2023,SE,FT,Data Engineer,US,0,US,M,20
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Quality Analyst,US,0,US,M,9
2023,SE,FT,Data Quality Analyst,US,0,US,M,7
2023,SE,FT,Data Scientist,US,0,US,M,17
2023,SE,FT,Data Scientist,US,0,US,M,12
2023,SE,FT,Data Scientist,US,100,US,M,22
2023,SE,FT,Machine Learning Engineer,US,100,US,M,28
2023,SE,FT,Machine Learning Engineer,US,100,US,M,18
2023,MI,FT,Big Data Engineer,ES,100,ES,M,4
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Data Scientist,US,100,US,M,10
2023,MI,FT,Data Analyst,US,0,US,M,8
2023,MI,FT,Data Analyst,US,0,US,M,7
2023,MI,FT,Research Scientist,GB,0,GB,M,18
2023,MI,FT,Research Scientist,GB,0,GB,M,9
2023,SE,FT,Data Engineer,US,0,US,M,22
2023,SE,FT,Data Engineer,US,0,US,M,17
2023,MI,FT,Data Specialist,US,0,US,M,12
2023,MI,FT,Data Specialist,US,0,US,M,7
2023,SE,FT,Data Engineer,US,0,US,M,14
2023,SE,FT,Data Analytics Manager,US,100,US,M,15
2023,SE,FT,Machine Learning Engineer,US,0,US,M,27
2023,SE,FT,Machine Learning Engineer,US,0,US,M,19
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,11
2023,SE,FT,Data Analyst,US,0,US,M,14
2023,SE,FT,Data Analyst,US,0,US,M,9
2023,SE,FT,Data Engineer,US,0,US,M,18
2023,SE,FT,Data Engineer,US,0,US,M,15
2023,SE,FT,Data Scientist,US,100,US,M,14
2023,SE,FT,Data Scientist,US,100,US,M,9
2023,MI,FT,Data Scientist,US,100,US,M,13
2023,EX,FT,Data Scientist,US,0,US,M,18
2023,EX,FT,Data Scientist,US,0,US,M,13
2023,MI,FT,Lead Data Analyst,US,0,US,L,6
2023,EN,FT,BI Data Engineer,US,100,US,M,5
2023,SE,FT,Data Analyst,US,100,US,M,9
2023,SE,FT,Data Analyst,US,100,US,M,8
2023,SE,FT,Analytics Engineer,US,0,US,M,16
2023,SE,FT,Analytics Engineer,US,0,US,M,13
2023,SE,FT,Data Analyst,US,0,US,M,9
2023,EN,FT,Research Engineer,US,0,US,M,14
2023,SE,FT,Machine Learning Engineer,US,0,US,M,22
2023,SE,FT,Data Scientist,US,0,US,M,14
2023,EX,FT,Data Architect,US,0,US,M,14
2023,SE,FT,Data Scientist,US,100,US,M,16
2023,SE,FT,Data Scientist,US,100,US,M,13
2023,SE,FT,Data Scientist,US,100,US,M,22
2023,SE,FT,Data Scientist,US,100,US,M,13
2023,EN,FT,Research Engineer,US,0,US,M,11
2023,SE,FT,Data Analyst,US,0,US,M,7
2023,SE,FT,Data Analyst,US,0,US,M,6
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,7
2023,EN,FT,Data Analyst,US,100,US,M,6
2023,EN,FT,Data Analyst,US,100,US,M,5
2023,SE,FT,Machine Learning Engineer,US,0,US,M,12
2023,SE,FT,Data Analyst,US,100,US,M,19
2023,SE,FT,Data Analyst,US,100,US,M,16
2023,SE,FT,Machine Learning Engineer,US,0,US,M,11
2023,SE,FT,Machine Learning Engineer,US,0,US,M,9
2023,MI,FT,Data Manager,US,0,US,M,11
2023,SE,FT,Data Scientist,US,100,US,M,18
2023,SE,FT,Data Scientist,US,100,US,M,15
2023,SE,FT,Data Scientist,IE,0,IE,M,16
2023,SE,FT,Data Scientist,IE,0,IE,M,10
2023,SE,FT,Applied Scientist,US,0,US,L,20
2023,SE,FT,Applied Scientist,US,0,US,L,12
2023,SE,FT,Applied Scientist,US,0,US,L,12
2023,SE,FT,Data Analyst,US,0,US,M,14
2023,SE,FT,Data Analyst,US,0,US,M,9
2023,SE,FT,Applied Scientist,US,100,US,M,19
2023,SE,FT,Applied Scientist,US,100,US,M,17
2023,SE,FT,Machine Learning Engineer,CA,100,CA,M,8
2023,SE,FT,Data Engineer,US,0,US,M,19
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,MI,FT,Data Analyst,GB,0,GB,M,6
2023,MI,FT,Data Analyst,GB,0,GB,M,5
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,EN,FT,Data Engineer,US,100,US,M,8
2023,EN,FT,Data Engineer,US,100,US,M,5
2023,SE,FT,Data Engineer,US,100,US,M,15
2023,SE,FT,Data Engineer,US,100,US,M,12
2023,SE,FT,Data Scientist,CA,0,CA,M,24
2023,SE,FT,Data Scientist,US,0,US,M,12
2023,MI,FT,Data Architect,US,0,US,M,15
2023,MI,FT,Data Architect,US,0,US,M,10
2023,SE,FT,Data Scientist,US,0,US,M,18
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,MI,FT,Data Engineer,US,0,US,M,13
2023,MI,FT,Data Engineer,US,0,US,M,7
2022,EN,FT,Data Engineer,NL,100,NL,L,5
2023,EX,FT,Data Engineer,US,100,US,M,19
2023,SE,FT,Data Engineer,US,0,US,M,16
2023,MI,FT,Machine Learning Scientist,US,0,US,M,21
2023,MI,FT,Machine Learning Scientist,US,0,US,M,20
2023,SE,FT,Data Scientist,US,100,US,M,27
2023,SE,FT,Data Scientist,US,100,US,M,18
2023,MI,FT,Research Scientist,US,100,US,M,14
2023,SE,FT,Data Scientist,US,100,US,M,18
2023,SE,FT,Data Scientist,US,100,US,M,15
2023,SE,FT,Data Scientist,US,0,US,M,29
2023,SE,FT,Data Engineer,US,0,US,M,7
2023,EN,FT,Business Data Analyst,ES,0,ES,M,2
2023,SE,FT,AI Developer,UA,0,UA,M,10
2023,SE,FT,AI Developer,UA,0,UA,M,5
2023,MI,FT,MLOps Engineer,US,100,US,M,11
2023,SE,FT,Data Engineer,US,0,US,M,16
2023,SE,FT,Data Engineer,US,0,US,M,15
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Data Scientist,US,0,US,M,16
2023,SE,FT,Data Engineer,US,0,US,M,11
2023,SE,FT,Machine Learning Engineer,US,0,US,M,23
2023,SE,FT,Machine Learning Engineer,US,0,US,M,16
2023,SE,FT,Data Analyst,US,0,US,M,13
2023,SE,FT,Data Analyst,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Research Scientist,US,0,US,M,14
2023,EN,FT,Research Engineer,US,0,US,M,15
2023,EN,FT,Research Engineer,US,0,US,M,11
2023,SE,FT,Data Analyst,US,100,US,M,11
2023,SE,FT,Data Scientist,US,100,US,M,25
2023,SE,FT,Data Scientist,US,100,US,M,17
2023,SE,FT,Data Architect,US,100,US,M,11
2023,MI,FT,Data Architect,US,0,US,M,15
2023,MI,FT,Data Architect,US,0,US,M,10
2023,SE,FT,Research Scientist,US,0,US,M,18
2023,MI,FT,Machine Learning Engineer,US,50,US,L,12
2023,SE,FT,Machine Learning Engineer,US,100,US,M,20
2023,SE,FT,Machine Learning Engineer,US,100,US,M,17
2023,SE,FT,Data Scientist,US,0,US,M,17
2023,SE,FT,Data Scientist,US,0,US,M,12
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,11
2023,MI,FT,Data Engineer,US,0,US,M,13
2023,MI,FT,Data Engineer,US,0,US,M,10
2023,MI,FT,Machine Learning Engineer,US,0,US,M,12
2023,SE,FT,Data Scientist,US,100,US,M,16
2023,SE,FT,Data Analyst,US,0,US,M,12
2023,SE,FT,Analytics Engineer,US,0,US,M,16
2023,SE,FT,Analytics Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,15
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Data Scientist,US,100,US,M,25
2023,SE,FT,Data Scientist,US,100,US,M,17
2023,MI,FT,Data Engineer,US,0,US,M,9
2023,EX,FT,Data Scientist,US,0,US,M,13
2023,SE,FT,Data Analyst,US,100,US,M,17
2023,SE,FT,Data Analyst,US,100,US,M,8
2023,SE,FT,Data Analyst,US,0,US,M,14
2023,SE,FT,Data Analyst,US,0,US,M,10
2023,MI,FT,Data Scientist,IE,0,IE,M,9
2023,MI,FT,Data Analyst,US,0,US,M,7
2023,MI,FT,Data Engineer,US,0,US,M,14
2023,MI,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Scientist,US,100,US,M,25
2023,SE,FT,Machine Learning Scientist,US,0,US,M,20
2023,SE,FT,Machine Learning Scientist,US,0,US,M,15
2023,SE,FT,Data Analyst,US,0,US,M,9
2023,SE,FT,Data Analyst,US,100,US,M,9
2023,EN,FT,Autonomous Vehicle Technician,GH,0,GH,S,0
2023,SE,FT,Data Engineer,CA,100,CA,M,15
2023,MI,FT,Data Analyst,US,0,US,M,14
2023,MI,FT,Data Scientist,GB,0,GB,M,4
2023,EN,FT,Data Scientist,US,0,US,M,17
2023,EN,FT,Data Scientist,US,0,US,M,11
2023,MI,FT,Data Scientist,GB,0,GB,M,7
2023,MI,FT,Data Scientist,GB,0,GB,M,4
2023,MI,FT,Data Scientist,GB,0,GB,M,10
2023,SE,FT,Data Engineer,US,0,US,M,14
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,EX,FT,Data Engineer,US,0,US,M,24
2023,EX,FT,Data Engineer,US,0,US,M,22
2023,SE,FT,Data Engineer,US,100,US,M,15
2023,SE,FT,Data Engineer,US,100,US,M,12
2023,MI,FT,Data Engineer,US,100,US,M,7
2023,MI,FT,Data Engineer,US,100,US,M,5
2023,EN,FT,Data Analyst,US,100,US,M,7
2023,SE,FT,Data Engineer,US,0,US,M,23
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,EN,FT,Data Engineer,US,100,US,M,8
2023,EN,FT,Data Engineer,US,100,US,M,5
2022,SE,FT,Lead Data Scientist,IE,100,IE,L,16
2023,MI,FT,Data Scientist,AT,100,DE,M,5
2023,MI,FT,Data Analyst,US,100,US,M,4
2023,SE,FT,Data Scientist,US,0,US,M,12
2023,SE,FT,Data Analyst,US,100,US,M,13
2023,EN,FT,Data Engineer,US,100,US,M,5
2023,EN,FT,Data Engineer,US,100,US,M,5
2023,SE,FT,Data Scientist,US,0,US,M,16
2023,SE,FT,Data Scientist,US,0,US,M,10
2023,EN,FT,Data Engineer,US,0,US,M,11
2023,EN,FT,Data Engineer,US,0,US,M,8
2023,SE,FT,Data Scientist,US,100,US,M,22
2023,MI,FT,Data Engineer,US,100,US,M,8
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Data Scientist,CA,0,CA,M,24
2023,SE,FT,Data Scientist,CA,0,CA,M,17
2023,MI,FT,Data Engineer,US,0,US,M,13
2023,MI,FT,Data Engineer,US,0,US,M,11
2023,SE,FT,Data Engineer,US,0,US,L,19
2023,SE,FT,Data Engineer,US,0,US,L,9
2023,SE,FT,Data Engineer,US,0,US,M,23
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Data Scientist,US,0,US,M,22
2023,SE,FT,Data Scientist,US,100,US,M,17
2023,SE,FT,Data Scientist,US,100,US,M,9
2023,SE,FT,Data Engineer,US,0,US,M,15
2023,SE,FT,Data Scientist,US,0,US,M,17
2023,SE,FT,Data Scientist,US,0,US,M,11
2023,SE,FT,Data Architect,US,100,US,M,14
2023,SE,FT,Data Engineer,US,100,US,M,10
2023,SE,FT,Data Engineer,US,100,US,M,16
2023,SE,FT,Data Engineer,US,100,US,M,10
2023,SE,FT,Data Analyst,US,0,US,M,16
2023,SE,FT,Data Analyst,US,0,US,M,9
2023,SE,FT,Data Architect,US,100,US,M,35
2023,SE,FT,Data Architect,US,100,US,M,20
2023,SE,FT,Data Analyst,US,0,US,M,14
2023,SE,FT,Data Analyst,US,100,US,M,19
2023,SE,FT,Data Engineer,US,0,US,M,24
2023,SE,FT,Data Engineer,US,0,US,M,21
2023,EX,FT,Data Engineer,US,0,US,M,18
2023,EX,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Cloud Database Engineer,US,100,US,L,15
2023,SE,FT,Applied Machine Learning Scientist,US,100,US,L,8
2023,EN,FT,Data Analyst,US,100,US,M,8
2023,SE,FT,Data Analyst,US,100,US,M,10
2023,SE,FT,Data Scientist,US,0,US,M,16
2023,SE,FT,Data Scientist,US,0,US,M,11
2023,SE,FT,Machine Learning Engineer,US,100,US,M,14
2023,SE,FT,Machine Learning Engineer,US,100,US,M,11
2023,SE,FT,Research Engineer,US,0,US,M,18
2023,SE,FT,Research Engineer,US,0,US,M,16
2023,MI,FT,Data Analyst,US,0,US,M,19
2023,MI,FT,Data Analyst,US,0,US,M,12
2023,SE,FT,Data Architect,GB,100,GB,M,12
2023,SE,FT,Data Architect,GB,100,GB,M,8
2023,SE,FT,Data Manager,CO,0,CO,M,6
2023,SE,FT,Data Manager,CO,0,CO,M,4
2023,SE,FT,Data Analyst,US,100,US,M,10
2023,MI,FT,Data Analyst,US,0,US,M,10
2023,MI,FT,Data Engineer,US,0,US,M,15
2023,MI,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Data Science Manager,US,0,US,M,28
2023,SE,FT,Data Science Manager,US,0,US,M,23
2023,MI,FT,Data Scientist,US,0,US,M,13
2023,SE,FT,Data Engineer,US,0,US,M,8
2023,SE,FT,Data Engineer,US,0,US,M,15
2023,SE,FT,Data Engineer,US,0,US,M,9
2023,SE,FT,Data Scientist,US,0,US,M,19
2023,MI,FT,Data Scientist,US,0,US,M,13
2023,MI,FT,Data Scientist,US,0,US,M,9
2023,SE,FT,Applied Scientist,US,0,US,L,20
2023,SE,FT,Applied Scientist,US,0,US,L,12
2023,MI,FT,Data Analyst,US,0,US,M,9
2023,MI,FT,Data Engineer,GB,100,GB,M,7
2023,MI,FT,Data Engineer,GB,100,GB,M,5
2023,EX,FT,Data Scientist,US,0,US,M,13
2023,MI,FT,Data Engineer,US,0,US,M,8
2023,SE,FT,Data Analyst,US,100,US,M,17
2023,SE,FT,Data Analyst,US,100,US,M,11
2023,MI,FT,Financial Data Analyst,US,100,US,L,12
2023,SE,FT,Data Scientist,US,0,US,M,19
2023,SE,FT,Data Scientist,US,0,US,M,13
2023,SE,FT,Data Scientist,US,100,US,M,27
2023,SE,FT,Data Scientist,US,100,US,M,18
2023,SE,FT,Research Scientist,US,0,US,M,13
2023,SE,FT,Research Scientist,US,0,US,M,8
